,user_id,movie_id,rating,title,release_date,IMDb URL,genre,age,gender,interest
0,1,119,4.9210606,Maya Lin: A Strong Clear Vision (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Maya%20Lin:%20A%20Strong%20Clear%20Vision%20(1994),['Documentary'],24,M,technician
1,1,1449,4.8960447,Pather Panchali (1955),22-Mar-1996,http://us.imdb.com/M/title-exact?Pather%20Panchali%20(1955),['Drama'],24,M,technician
2,1,169,4.8066573,"Wrong Trousers, The (1993)",01-Jan-1993,"http://us.imdb.com/M/title-exact?Wrong%20Trousers,%20The%20(1993)","['Animation', 'Comedy']",24,M,technician
3,1,114,4.7683134,Wallace & Gromit: The Best of Aardman Animation (1996),05-Apr-1996,http://us.imdb.com/Title?Wallace+%26+Gromit%3A+The+Best+of+Aardman+Animation+(1996),['Animation'],24,M,technician
4,1,483,4.762339,Casablanca (1942),01-Jan-1942,http://us.imdb.com/M/title-exact?Casablanca%20(1942),"['Drama', 'Romance', 'War']",24,M,technician
5,3,340,4.0486474,Boogie Nights (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?Boogie+Nights+(1997),['Drama'],23,M,writer
6,3,1143,4.0343914,Hard Eight (1996),28-Feb-1997,http://us.imdb.com/Title?Hard+Eight+(1996),"['Crime', 'Thriller']",23,M,writer
7,3,346,4.0106473,Jackie Brown (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?imdb-title-119396,"['Crime', 'Drama']",23,M,writer
8,3,347,3.997565,Wag the Dog (1997),09-Jan-1998,http://us.imdb.com/M/title-exact?imdb-title-120885,"['Comedy', 'Drama']",23,M,writer
9,3,56,3.902824,Pulp Fiction (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),"['Crime', 'Drama']",23,M,writer
10,5,169,4.4836836,"Wrong Trousers, The (1993)",01-Jan-1993,"http://us.imdb.com/M/title-exact?Wrong%20Trousers,%20The%20(1993)","['Animation', 'Comedy']",33,F,other
